case_id,event_id,activity,timestamp,resource,order_value,region
O2C001,E001,order_received,2026-04-01T09:00:00,sales_portal,4800,East
O2C001,E002,credit_check,2026-04-01T10:00:00,finance_bot,4800,East
O2C001,E003,pick_items,2026-04-01T13:00:00,warehouse_a,4800,East
O2C001,E004,quality_check,2026-04-01T15:00:00,quality_team,4800,East
O2C001,E005,pack_order,2026-04-01T17:00:00,warehouse_a,4800,East
O2C001,E006,ship_order,2026-04-02T09:00:00,carrier_1,4800,East
O2C001,E007,invoice_sent,2026-04-02T10:00:00,billing_bot,4800,East
O2C001,E008,payment_received,2026-04-04T11:00:00,bank_feed,4800,East
O2C002,E009,order_received,2026-04-01T11:00:00,sales_portal,3200,North
O2C002,E010,credit_check,2026-04-01T12:00:00,finance_bot,3200,North
O2C002,E011,pick_items,2026-04-01T15:00:00,warehouse_b,3200,North
O2C002,E012,quality_check,2026-04-01T16:00:00,quality_team,3200,North
O2C002,E013,pack_order,2026-04-01T18:00:00,warehouse_b,3200,North
O2C002,E014,ship_order,2026-04-02T08:00:00,carrier_2,3200,North
O2C002,E015,invoice_sent,2026-04-02T09:00:00,billing_bot,3200,North
O2C002,E016,payment_received,2026-04-03T10:00:00,bank_feed,3200,North
O2C003,E017,order_received,2026-04-02T09:00:00,sales_portal,9100,South
O2C003,E018,credit_check,2026-04-02T12:00:00,finance_bot,9100,South
O2C003,E019,pick_items,2026-04-03T09:00:00,warehouse_a,9100,South
O2C003,E020,quality_check,2026-04-03T13:00:00,quality_team,9100,South
O2C003,E021,rework_pick,2026-04-03T17:00:00,warehouse_a,9100,South
O2C003,E022,quality_check,2026-04-04T10:00:00,quality_team,9100,South
O2C003,E023,pack_order,2026-04-04T14:00:00,warehouse_a,9100,South
O2C003,E024,ship_order,2026-04-05T09:00:00,carrier_1,9100,South
O2C003,E025,invoice_sent,2026-04-05T10:00:00,billing_bot,9100,South
O2C003,E026,payment_received,2026-04-08T09:00:00,bank_feed,9100,South
O2C004,E027,order_received,2026-04-02T13:00:00,sales_rep,1500,West
O2C004,E028,pick_items,2026-04-02T15:00:00,warehouse_c,1500,West
O2C004,E029,quality_check,2026-04-02T18:00:00,quality_team,1500,West
O2C004,E030,pack_order,2026-04-03T09:00:00,warehouse_c,1500,West
O2C004,E031,ship_order,2026-04-03T16:00:00,carrier_3,1500,West
O2C004,E032,invoice_sent,2026-04-03T17:00:00,billing_bot,1500,West
O2C004,E033,payment_received,2026-04-05T10:00:00,bank_feed,1500,West
O2C005,E034,order_received,2026-04-03T08:00:00,sales_portal,7600,East
O2C005,E035,credit_check,2026-04-03T09:00:00,finance_bot,7600,East
O2C005,E036,pick_items,2026-04-04T15:00:00,warehouse_b,7600,East
O2C005,E037,quality_check,2026-04-04T18:00:00,quality_team,7600,East
O2C005,E038,pack_order,2026-04-05T10:00:00,warehouse_b,7600,East
O2C005,E039,ship_order,2026-04-06T09:00:00,carrier_2,7600,East
O2C005,E040,invoice_sent,2026-04-06T10:00:00,billing_bot,7600,East
O2C005,E041,payment_received,2026-04-10T12:00:00,bank_feed,7600,East
O2C006,E042,order_received,2026-04-03T10:00:00,sales_portal,11800,South
O2C006,E043,credit_check,2026-04-03T13:00:00,finance_bot,11800,South
O2C006,E044,pick_items,2026-04-03T16:00:00,warehouse_a,11800,South
O2C006,E045,quality_check,2026-04-04T09:00:00,quality_team,11800,South
O2C006,E046,rework_pick,2026-04-04T12:00:00,warehouse_a,11800,South
O2C006,E047,quality_check,2026-04-04T15:00:00,quality_team,11800,South
O2C006,E048,pack_order,2026-04-04T18:00:00,warehouse_a,11800,South
O2C006,E049,ship_order,2026-04-05T12:00:00,carrier_1,11800,South
O2C006,E050,invoice_sent,2026-04-05T14:00:00,billing_bot,11800,South
O2C006,E051,payment_received,2026-04-12T16:00:00,bank_feed,11800,South
O2C007,E052,order_received,2026-04-04T09:00:00,sales_rep,5200,North
O2C007,E053,credit_check,2026-04-04T10:00:00,finance_bot,5200,North
O2C007,E054,pick_items,2026-04-04T12:00:00,warehouse_c,5200,North
O2C007,E055,quality_check,2026-04-04T14:00:00,quality_team,5200,North
O2C007,E056,invoice_sent,2026-04-04T15:00:00,billing_bot,5200,North
O2C007,E057,pack_order,2026-04-04T16:00:00,warehouse_c,5200,North
O2C007,E058,ship_order,2026-04-05T10:00:00,carrier_3,5200,North
O2C007,E059,payment_received,2026-04-07T10:00:00,bank_feed,5200,North
O2C008,E060,order_received,2026-04-04T11:00:00,sales_portal,6400,West
O2C008,E061,credit_check,2026-04-06T09:00:00,finance_bot,6400,West
O2C008,E062,pick_items,2026-04-06T12:00:00,warehouse_b,6400,West
O2C008,E063,quality_check,2026-04-06T16:00:00,quality_team,6400,West
O2C008,E064,pack_order,2026-04-06T18:00:00,warehouse_b,6400,West
O2C008,E065,ship_order,2026-04-07T09:00:00,carrier_2,6400,West
O2C008,E066,invoice_sent,2026-04-07T10:00:00,billing_bot,6400,West
O2C008,E067,payment_received,2026-04-09T09:00:00,bank_feed,6400,West
